"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Validate application Customer Details-Contact's Name Functionality","To validate application 2nd Contact's Name","0","0","1","0","0"
"","Validate application Customer Details-Job Location Functionality","To validate application Job Location functionality","0","0","1","0","0"
"","Validate application login Page with India Region functionality","To validate application login page with Indian Region","0","0","1","0","0"
"","Validate application Customer Details-Job Level Functionality","To validate application Job Level","0","0","1","0","0"
"","Validate application Customer Details-Contact's Email Functionality","To validate application 1st Contact's Email","0","0","1","0","0"
"","Validate application Customer Details-Job Department Functionality","To validate application Job Department functionality","0","0","1","0","0"
"","Validate application Customer Details-Contact's Email Functionality","To validate application 2nd Contact's Email","0","0","1","0","0"
"","Validate application Customer Details-Job Title Functionality","To validate application Job Title","0","0","1","0","0"
"","Validate application login Page with UK Region functionality","To validate application login page with UK Region","0","0","1","0","0"
"","Validate application login Page with US Region functionality","To validate application login page with US Region","0","0","1","0","0"
"","Validate application Customer Details-Contact's Name Functionality","To validate application 1st Contact's Name","0","0","1","0","0"
"","Validate application Customer Details-login page","To validate application login page","0","0","1","0","0"
